trial,ate,se,bal,ss,ess
1,-0.3841487491735962,0.10616567152489172,0.005302857617594358,392.0,255.39710692324968
2,-0.4308379011108614,0.10749639394815742,0.005038258670539455,369.0,219.6534373896035
3,-0.43464915473733035,0.11343132724104418,0.004294813723663303,366.0,219.9851572407647
4,-0.45136430543038486,0.10505464845340984,0.00604292512285415,372.0,231.28062601915428
5,-0.37677578393611455,0.11406142533247131,0.008323709833902,366.0,237.3947020963389
6,-0.3086204928209688,0.10407399582930385,0.006113790215588105,391.0,265.2769348635618
7,-0.39101514538334214,0.10654090185692859,0.005980436346795462,368.0,225.80151704223323
8,-0.3829792661397575,0.09858381757618051,0.0038520554017632894,404.0,269.2928866501329
9,-0.47253396136031345,0.1062916724832915,0.005914727315642952,387.0,249.73828214780843
10,-0.43805268714500833,0.13093540015589422,0.039971970871210336,305.0,203.50849867266675
11,-0.33391920548382714,0.12054847351078583,0.006683351249766273,315.0,194.18445095873756
12,-0.38888260816529296,0.10352107565400984,0.005493017865805636,394.0,249.94692275004974
13,-0.336575829646379,0.10619762538490232,0.004024758831442411,369.0,233.3352956401172
14,-0.37362930000987626,0.11185549727309589,0.009249234957111144,373.0,246.61605267631285
15,-0.42440765701098604,0.11008482374434451,0.008634935563064076,370.0,243.75398863348977
16,-0.39936798807600304,0.11931749153790441,0.011255080026626842,337.0,227.22670270592664
17,-0.36687079501631104,0.1091997429320431,0.009385984988207181,373.0,254.27942068557314
18,-0.3751019284448618,0.10879115508030282,0.006128020568726398,354.0,225.72011249703627
19,-0.4322141148251508,0.10511113521302895,0.004329270390443849,401.0,244.7081914154876
20,-0.4216665000140898,0.09648054794630864,0.0044315629332685735,426.0,267.65272536631994
21,-0.4060974942839426,0.11559630574680138,0.008904684326165606,366.0,225.36085456248685
22,-0.4376320288616409,0.10502228782627836,0.004568765163632706,362.0,233.22798423986717
23,-0.3264446831080927,0.09836811671576677,0.003729305852928522,399.0,261.8064801122891
24,-0.4085250985097044,0.10301110997742173,0.009542377405253103,370.0,240.97159060582817
25,-0.44090207995148845,0.09635064549837272,0.003038464359670357,421.0,276.9657265821908
26,-0.3721583630247167,0.10603370941691816,0.005194068383115782,358.0,240.38503031605777
27,-0.38166473224769426,0.1294978076642154,0.008836087269062166,348.0,235.1553128868295
28,-0.40330401495026624,0.13604348016592982,0.05303619215304387,320.0,223.96271722806796
29,-0.3330658285940049,0.10167477875942639,0.0062496050397106455,366.0,252.24544100953545
30,-0.36494251463601657,0.1063220538078452,0.0071139049742296205,356.0,213.2839112089158
31,-0.360529109785249,0.10301924030006025,0.004374201049564631,377.0,244.13566283281563
32,-0.43618555797908787,0.09448801466455686,0.005556182389398729,421.0,259.6475038952597
33,-0.3987712776056287,0.11611542145714857,0.007813489349441267,348.0,219.9620975470247
34,-0.4291666265746592,0.10715156641582278,0.00628595774141517,382.0,246.68099447828064
35,-0.4120207353577148,0.10817430901898425,0.006444488689557395,364.0,221.47439510592784
36,-0.4110437063252075,0.12004483707638931,0.00793171415688565,294.0,183.1248316691074
37,-0.407922846641128,0.10006935662702728,0.008122460334674265,364.0,232.0644895062498
38,-0.3914495873119952,0.12257127522286654,0.008575499723751528,338.0,218.40873852787257
39,-0.45226461683360464,0.109212943526828,0.006640749983825203,342.0,219.96283043335936
40,-0.3560194124090956,0.10081570028763677,0.004972112226505864,372.0,234.67013010787707
41,-0.4364174104927425,0.12614524856361672,0.012382393577584562,283.0,174.5942791831846
42,-0.4711399160414831,0.11989164948366844,0.016548729158268573,293.0,180.47834384355875
43,-0.3846833097510216,0.11418183953356374,0.0068901252008871094,382.0,242.87885020423028
44,-0.34391806410731585,0.10702703997023037,0.004647656507702981,405.0,272.9600704396902
45,-0.43482206213949715,0.10206074692334638,0.005746685154052129,356.0,224.60862317047696
46,-0.4084040212229021,0.1193128150399995,0.015916708771829526,326.0,217.1454616345373
47,-0.40602645970314066,0.11930242795572302,0.008558348505079137,360.0,237.82101970953147
48,-0.4289669912810852,0.12648824903718653,0.01385713813400913,305.0,197.5276096881317
