,ate,se,bal,ss,ess,asum
0.04000000000000001,0.04744591129740827,0.013211584180743778,0.052698649428434455,4404.0,4378.366158813666,4367.643425719792
0.04261436601195196,0.0475354178745947,0.013217993385886325,0.05242985249515878,4401.0,4375.242169604546,4364.471881663993
0.04539960476501518,0.04765622401983871,0.013227456311551042,0.05175225897890399,4388.0,4366.994654315604,4356.0000000038635
0.048366884356357866,0.04737673156933142,0.013232698367996397,0.05142646914622833,4387.0,4363.731669082528,4351.633376807167
0.05152810282048968,0.04694254387340224,0.013253383433851752,0.050571298801505085,4376.0,4352.2104000207255,4339.679288221494
0.054895935837346026,0.04695771201941912,0.013286462316117813,0.049398776074424534,4360.0,4335.699009356476,4322.660624921844
0.05848388755853237,0.04706115574526426,0.0133096144821881,0.04851352751082482,4348.0,4322.631875989246,4309.318348564217
0.062306344755528535,0.047407993637625157,0.013344826545054821,0.047439340225655116,4331.0,4305.389358841801,4292.39105680176
0.0663786345069739,0.04646455754240908,0.013369853231490461,0.04642276447501533,4322.0,4291.268469016624,4275.67289787994
0.07071708565634427,0.04630509478109135,0.013401609855631515,0.04514992599499912,4295.0,4268.668648890338,4254.299077597748
0.07533909428645032,0.04620893117330027,0.013422836327801562,0.04412773476239162,4282.0,4252.491093644785,4236.515551259139
0.08026319347329379,0.04662829784609879,0.013439625937263711,0.04279199087406808,4272.0,4231.347133133606,4212.670171705447
0.08550912759897641,0.04715663732094966,0.01345368717274368,0.041500497880409486,4250.0,4210.582670363914,4189.105661594334
0.09109793152163707,0.04664787933692616,0.013488990266242722,0.040317258680751256,4228.0,4186.906663327894,4167.087448520826
0.09705201491986944,0.04638479076308211,0.013519399779139091,0.03925062029083913,4200.0,4164.750863703503,4146.668311826749
0.10339525214981847,0.04506391952850619,0.013555600815390494,0.038105595107678025,4180.0,4142.401518620152,4124.227801157893
0.11015307797526068,0.04565084309030898,0.013583557748311534,0.037004922470745875,4157.0,4121.819983309083,4102.173219766247
0.11735258955452105,0.045511111655784364,0.013614078047256695,0.03586594807935418,4146.0,4101.585867774677,4078.834023087938
0.12502265509316823,0.04581309236993436,0.013647019336955162,0.03489839963174179,4122.0,4080.45816876773,4058.555583555514
0.13319402959815754,0.04707733483674714,0.01367281371178917,0.0339558694049916,4102.0,4061.365206214597,4038.2476494831026
0.1418994781975662,0.04664079929304921,0.013702836913715178,0.03294327678986484,4088.0,4039.762236581263,4015.921297606539
0.15117390752040205,0.046277162129042426,0.013738306465593693,0.031924428085424665,4070.0,4018.39646614465,3992.9572643968486
0.16105450566328477,0.046537254265435646,0.01376717387774876,0.03089663134522342,4052.0,3995.7986554570434,3969.385776115618
0.1715808913052302,0.04692334374523999,0.013802660187921341,0.029970705419721085,4028.0,3972.931155858604,3947.7531944051975
0.1827952725684506,0.04742628355848866,0.013834202177123956,0.029100501683958883,4015.0,3953.6197465213872,3926.9431970843843
0.19474261626216188,0.04709096849762129,0.013867241291148885,0.028225366621529153,3997.0,3933.603487925382,3905.566578398566
0.20747082818802184,0.04784064054014492,0.013897404649392901,0.027414105524514423,3982.0,3917.3181036781943,3885.2839494136315
0.22103094523017908,0.049046538540069906,0.01393229586711989,0.0265983314224857,3974.0,3898.354243589397,3864.4137651280066
0.23547734000016396,0.050906255255992905,0.013967551409278746,0.025810356886066477,3951.0,3878.0893948070634,3843.8272791175805
0.25086793885719605,0.05264456531596373,0.013989730409890672,0.025121315999007854,3936.0,3860.9930686749676,3825.360869963428
0.26726445417811345,0.05385212345559798,0.014011768865815191,0.024409935362922113,3920.0,3844.2056449866395,3805.790426895024
0.2847326318082672,0.054811815534112296,0.014034951787190652,0.023737570111174555,3906.0,3825.5892624897215,3786.832863956842
0.30334251468559636,0.055941541671505,0.014060977185245295,0.023096224863785916,3895.0,3806.296766417794,3768.2645240178454
0.3231687236949479,0.05655611235904312,0.014087452116477018,0.022503538352038846,3873.0,3789.255183579219,3750.6250729132485
0.34429075687879696,0.056981566423814245,0.01411441048050454,0.021939476801204325,3854.0,3774.370060733292,3733.322549485553
0.36679330820412553,0.05717559272511141,0.014139761992888251,0.021391991397088448,3844.0,3759.864032720293,3716.0243367829553
0.39076660716363265,0.057226268678424064,0.014158447783351225,0.02087891179636381,3830.0,3747.712925177965,3699.2941807836824
0.41630678057299225,0.05692752244673693,0.014182284486184997,0.020385250188964713,3825.0,3734.485894773725,3682.6733293932175
0.44351623801487156,0.05683915807635753,0.014205852476346394,0.019903128011442485,3814.0,3720.9367940291804,3665.9031242296387
0.47250408247524356,0.05647779162323907,0.01422895658479929,0.01943657931691663,3808.0,3706.81282597723,3649.1527257916186
0.5033865478185391,0.0560852017376362,0.014254595614077251,0.019000731292336214,3805.0,3692.418053147303,3632.959420259021
0.5362874648558045,0.05573919953821416,0.014285418787434747,0.018584514154999197,3800.0,3677.589705109109,3616.9485344273626
0.5713387578746767,0.05529581722890109,0.014317013767726084,0.018190124223183435,3790.0,3663.084797066136,3601.225684539887
0.608680973622137,0.05433162997765073,0.014345073249242812,0.01780964701358689,3781.0,3650.5198029012995,3585.492578713356
0.6484638448611255,0.05403880542010531,0.014373540330647397,0.017455190655230605,3771.0,3638.8869335232293,3570.2687793099935
0.6908468907607407,0.0540285051063949,0.014399797579933123,0.01710902098851723,3765.0,3627.3348674506715,3554.8110172611323
0.7360000565274302,0.053710893144734095,0.014420573908041202,0.016760355363983008,3761.0,3614.704516560776,3538.638824721639
0.784104394841931,0.05368769135902107,0.014442114425609222,0.01643183176710081,3756.0,3601.6227255678323,3522.810903127417
