trial,ate,se,bal,ss,ess
1,-0.3708321571095987,0.08445859680192924,0.029360451015235923,485.0,357.9494350212669
2,-0.4113987249964359,0.09210665020164387,0.03051084574948102,483.0,298.0042499227594
3,-0.42942142965070396,0.0944426303142473,0.03221942349275386,475.0,310.6917336840752
4,-0.43469557653901525,0.08880590933419075,0.028821963418233655,483.0,324.32470301996744
5,-0.37971600238265024,0.08643153193296237,0.031113818680000817,483.0,345.7787190340939
6,-0.3344004187092322,0.08444699248307187,0.02968935222970562,491.0,366.95859283123366
7,-0.3774846881130829,0.08608718892264691,0.03249849336686312,485.0,322.9335813067951
8,-0.39197531541146,0.08438108952648957,0.02969768258258832,491.0,345.2843246162963
9,-0.45345522522148807,0.0882066358163144,0.027571678766115087,487.0,341.27698928097334
10,-0.4357222109920236,0.08358772836502296,0.035149166699300065,480.0,336.55144003085843
11,-0.30415113439556407,0.09375665918242333,0.03205645272046382,471.0,313.09930585113347
12,-0.35092686442878707,0.08624931426365595,0.03112474470133287,487.0,340.54899798958445
13,-0.33903704792444866,0.09061219350488069,0.030130547863355266,475.0,319.6533922512748
14,-0.3964951050665211,0.08448947661526668,0.03182680509766099,486.0,353.84158529636215
15,-0.40128325317080726,0.08374716540820869,0.031141207541268118,489.0,351.33602646217196
16,-0.4072559223167289,0.08918934071778147,0.03373994307793582,478.0,337.4308054666542
17,-0.37965128898925515,0.08725807221431328,0.03019424743761784,487.0,351.78105221709404
18,-0.3895704137996927,0.09089896512608672,0.03220507289375921,479.0,316.124355633116
19,-0.41947310440182983,0.08757233137564173,0.030097967376885554,485.0,337.39157926734845
20,-0.3920215403373679,0.0872845656016862,0.028860330482684608,494.0,323.74191870861426
21,-0.41200270186244525,0.09168943843400053,0.03194126152717774,477.0,320.9415636410413
22,-0.40250896798650704,0.08780810840184791,0.030040317920950844,485.0,319.19501321160215
23,-0.3161640012622424,0.0841648772976862,0.028457634504162443,489.0,353.14359289883305
24,-0.3835281490452207,0.08371193355699891,0.033119507026945126,480.0,323.29911352820716
25,-0.4157841973243488,0.08808959558733787,0.026100270040813497,492.0,331.8785845517074
26,-0.3926566517598604,0.08663176434914795,0.02987306391844984,479.0,345.6426824244793
27,-0.387440149896777,0.09716949550656956,0.030507034397023486,469.0,324.69509625077194
28,-0.3726801806572313,0.09025917843656465,0.03578418918030967,473.0,334.4646263351301
29,-0.33479442347918686,0.08272700294295024,0.03074115894871613,483.0,349.1720352644279
30,-0.3612983003640391,0.08480813062505684,0.033822338264869974,482.0,335.4909658498958
31,-0.3571742267699869,0.08781061002272443,0.030589937957692003,487.0,327.2900737956424
32,-0.4134361810932248,0.08017081352887626,0.02937579236899733,495.0,349.04660440197654
33,-0.37575667696212545,0.09321207767605183,0.034259614528006396,477.0,314.65249131085676
34,-0.416041688587796,0.08742824637177997,0.030784756250945542,495.0,343.73184244532666
35,-0.3817557389764077,0.08884646252463932,0.03065849766746424,480.0,328.42443113289164
36,-0.3836743235295339,0.09159722836971515,0.03446811937985691,471.0,309.5662666350655
37,-0.4240399707645275,0.08239284784230494,0.02904694374888386,486.0,342.14267595666945
38,-0.38168058904075197,0.09170593080659618,0.031696754084561136,479.0,335.59953763204726
39,-0.4106723300264048,0.09262703576772967,0.03156829763812248,481.0,313.33628053410587
40,-0.34986650947414644,0.08563904938288865,0.03171641291720047,478.0,315.89942770994315
41,-0.4049872557738601,0.0910607123520922,0.034038340906409933,466.0,306.031242835729
42,-0.45090609564731254,0.08956011004941067,0.03544299583605862,467.0,299.88961544325275
43,-0.40933864782819374,0.08957640854426231,0.03141345734730374,477.0,335.96539428193785
44,-0.37467071842338306,0.08871962089311583,0.029896252942299906,486.0,355.52985218806
45,-0.40808765894438226,0.08622436707698462,0.0338052572544294,475.0,314.7078530841737
46,-0.4391452388454886,0.08488557974272068,0.03382849561401763,481.0,342.57915291270615
47,-0.42772403407687465,0.08949356660599775,0.031530395655104314,481.0,346.30173190311143
48,-0.41389872124326166,0.09048299422138763,0.03239385412529309,480.0,323.6061045764418
49,-0.3979941859070806,0.08686008002435398,0.030399901366896923,482.0,335.1064492985242
50,-0.4056167577722585,0.08406935797489645,0.0293400018382594,489.0,338.5501069319947
51,-0.3952961077553492,0.09194740426274453,0.03218461949448613,479.0,308.0820943114569
52,-0.4260472802745152,0.08810938653946689,0.03464729554838634,466.0,310.099876614899
53,-0.3483811308482663,0.08304558112807929,0.03183188821327811,495.0,342.7725687307992
54,-0.38799032163601943,0.09020041314455694,0.03192907106934455,473.0,320.64777283542503
55,-0.4251341180252104,0.09203455716152976,0.037527022956076954,463.0,304.05373614620004
56,-0.3900565362777293,0.09318603826034014,0.034560155398535,458.0,305.06219014867247
57,-0.4274973267527482,0.08552983757408204,0.029539703826341142,489.0,316.14848401657116
58,-0.40793207786572694,0.08859893084499765,0.03666082745559831,470.0,316.80696915204567
59,-0.3581737118165944,0.08636429064340628,0.03043004957632453,480.0,320.61071018123573
60,-0.3989777985827474,0.08621450838067797,0.03012033174019277,476.0,334.7746115464819
61,-0.41722025095922266,0.09270764907097358,0.02917755549372471,478.0,324.6402597547914
62,-0.3554836187813222,0.0900117933049869,0.032727201655244266,485.0,302.9060575423718
63,-0.3998785235769513,0.09002006251446222,0.03203761227609756,467.0,328.028655197386
64,-0.36070921555755664,0.08698772212965633,0.03577060720499838,471.0,292.3312369723937
65,-0.375398596703155,0.08766606434961344,0.030662265755938733,483.0,341.07655735245976
66,-0.46511119015934765,0.09441359218058434,0.030908871611715568,492.0,323.2914725553154
67,-0.38295354936603676,0.08927950912453972,0.026624532517885376,484.0,336.3528069284672
68,-0.453743024347685,0.09030975462721269,0.03367278434882487,481.0,299.5092849143115
69,-0.37878307558894697,0.08487497247664857,0.029194151759677926,490.0,340.16490007109326
70,-0.37333345632213577,0.08982855672022436,0.029209427472098842,482.0,332.5555091266458
71,-0.4106117999516439,0.0823468424648168,0.030398444497275714,486.0,346.67851945558914
72,-0.36952708903296916,0.09529679897801828,0.03582382489727739,477.0,332.9987445773225
73,-0.318996328912708,0.08878595414448075,0.03291209406225099,480.0,326.056360661874
74,-0.4318089902103419,0.09009636623269862,0.033866089810475924,467.0,314.8958933355533
75,-0.3626395635719195,0.08614490563513026,0.031776779816410444,482.0,340.3194693286986
76,-0.3108147382049764,0.08624524494535933,0.029732760430250835,483.0,345.70159228793796
77,-0.4094460230207928,0.08613608978607848,0.03158015202758424,477.0,333.2865940253166
78,-0.4003784059447608,0.09151449668884433,0.03410136067273565,481.0,342.49323373553307
79,-0.41483162452170586,0.0933829480832802,0.032229138749907196,474.0,327.1304750000302
80,-0.3986094653902952,0.0957481937290103,0.03617045794274554,473.0,299.96507252520485
81,-0.38462549656655787,0.09000058129805756,0.030671328280100548,492.0,338.5187678631201
82,-0.45062588442233986,0.09085195646871283,0.030641610895952232,480.0,317.62844454835147
83,-0.36914757555232214,0.09086311605954543,0.031472196311068956,478.0,338.4839319991721
84,-0.41654497906086485,0.08516682056101342,0.029885291832274462,485.0,343.44997375262295
85,-0.4181309100828292,0.09047799918323081,0.03296676228819533,478.0,318.9574863388559
86,-0.3967467312185584,0.09597170316584731,0.03694412902864978,474.0,293.11477841850103
87,-0.36206372975856915,0.08625164313369735,0.028871777964922813,491.0,347.61553763801226
88,-0.40280230050832877,0.0940930171636749,0.03446570872544359,459.0,294.5544344948868
89,-0.34965555594921005,0.08507613809045166,0.030638954718500883,491.0,343.5603639303548
90,-0.43588325075217593,0.0834796524327035,0.028721182383239795,494.0,368.1687334133877
91,-0.4443761482716422,0.08527990844010006,0.030946372848844238,480.0,333.19002601504917
92,-0.3791385189553491,0.08772064306639774,0.03708676751937508,470.0,316.473864934437
93,-0.39358276974592865,0.08815208379026214,0.02929196204042413,482.0,319.75917467482054
94,-0.3955576399043945,0.08701098414859645,0.029551916632525016,482.0,333.70772529145415
95,-0.3094333405496865,0.08589390050501136,0.033141544707412846,469.0,321.5650065065951
96,-0.3664902717501537,0.09341993687578694,0.034644185617953356,478.0,300.25051910957234
97,-0.38748754376859873,0.09019163898251396,0.03284078212732463,472.0,306.38074870219293
98,-0.4476596346283599,0.08749110057465617,0.03568067894101616,469.0,309.9956445784569
99,-0.39806132849903353,0.08679483041619737,0.03210137268229136,485.0,327.21220965976727
100,-0.38324909576889654,0.08767617031032832,0.032781980319516096,484.0,329.393034760101
101,-0.34085403544312154,0.08587266833671972,0.033046100931523895,484.0,333.0536802578327
102,-0.4175810998776637,0.08750666070765455,0.028124638999889366,488.0,340.75177161785257
103,-0.34987740119724764,0.0961304501994726,0.03240631166285611,459.0,301.75628926491873
104,-0.40266540218621616,0.0904917771476563,0.033375291762944216,480.0,338.639253004084
105,-0.34604618829516465,0.08795718333558906,0.03062053615229909,481.0,347.0474917792091
106,-0.33158834438938234,0.08878169077920427,0.03038901391108905,481.0,327.533326395327
107,-0.4366496490714229,0.08230003023602385,0.031068697340944498,483.0,346.09288746079426
108,-0.40448619298373556,0.0810226395197555,0.03031221347299341,492.0,371.1171470496332
109,-0.4434681053383347,0.0871389136655795,0.029817613295125216,482.0,352.4454447161332
110,-0.40004962247760467,0.08869185912104892,0.03427727679122664,482.0,328.87068804193825
111,-0.38560477091846845,0.08615632088280974,0.03435297375543706,478.0,325.7644251386921
112,-0.29393786927903065,0.08436695227866522,0.032433077880313105,488.0,337.34185908121805
113,-0.4618093335569551,0.09044485155123623,0.03178273783200805,478.0,310.0990164011904
114,-0.39658607080800845,0.09066766948268656,0.027861508241445485,483.0,340.37766554926196
115,-0.31914540069455066,0.08379880827226603,0.0318168924040816,482.0,354.27379793662664
116,-0.4516650451753108,0.09176989289800083,0.030543329786492265,462.0,314.86897187921977
117,-0.385602514243371,0.08568654448336455,0.028931608074671798,485.0,356.4473145327105
118,-0.3578496398110098,0.08565682941795977,0.02910406327410813,489.0,326.71315956624596
119,-0.42189080426797076,0.08587740936056569,0.03024146248564865,485.0,341.74218035132526
120,-0.3806144511334706,0.08493251103372579,0.03284964195130027,477.0,317.02929383173466
121,-0.4455640264592944,0.08789758780698444,0.02944708439431257,477.0,340.3255420323092
122,-0.4137645833214445,0.08015676792524912,0.030235910305041948,479.0,335.90358774654527
123,-0.45795300416391127,0.08132400673437663,0.036148396216095016,480.0,314.9662469576999
124,-0.3391215985555247,0.08855514683455885,0.028011902801816,491.0,350.7874550179687
125,-0.3586239494498664,0.08678519378410254,0.030066293396584506,489.0,355.5251209355509
126,-0.3352120995182335,0.0899140488527009,0.028156163078479044,481.0,323.33270275510984
127,-0.40713239316711514,0.09371525757545254,0.028054945961459986,478.0,330.314632164062
128,-0.3837422069165579,0.09433932074568104,0.0339936539007506,475.0,308.44437598121056
129,-0.474300873076801,0.07902615602085876,0.03300315959754204,490.0,367.6334121531059
130,-0.3485534279953386,0.08579994187816822,0.036274920722456166,470.0,313.6047656453502
131,-0.430085461313765,0.08959214086781832,0.03316474436279198,474.0,318.89152847005323
132,-0.3361867959425573,0.08964575896629379,0.030367022293121288,481.0,321.75803505691755
133,-0.37214136892846916,0.08704530767823308,0.03106380209819572,481.0,326.13132177644707
134,-0.39163800038075625,0.08650656547639116,0.0334679196097898,469.0,322.17642563922186
135,-0.3623124529835273,0.08907117768393004,0.02906688804402848,491.0,348.9110552137893
136,-0.3705008341621441,0.09133508744910503,0.031903927346120485,471.0,328.6574283163757
137,-0.3844264938857025,0.10069493105307659,0.033514069263306835,472.0,303.59455927952894
138,-0.3407408733224595,0.08842733181732766,0.03547320159348982,471.0,328.52338567324523
139,-0.4055359270501966,0.08453361823684742,0.0315778229293075,486.0,337.71234950678036
140,-0.3454620888173938,0.0842071143503673,0.029781066622701854,481.0,328.3535398496838
141,-0.40166551352573787,0.08675884635307518,0.03261852837624542,476.0,331.26102015595643
142,-0.37479184436428836,0.09289989462826456,0.03443067913729538,468.0,305.3384871954354
143,-0.4306380570495194,0.08787601880366482,0.029719407759560227,481.0,331.1684030728952
144,-0.33834385782922194,0.08740302553807605,0.031834736453035424,480.0,334.5909893974974
145,-0.36634090594876856,0.08528214186534737,0.02781997685190853,490.0,364.60339922878256
146,-0.3272575961299462,0.08850062803591208,0.030779466766286134,469.0,318.41949591546745
147,-0.3748715404770482,0.09151375162810572,0.029766169890715715,478.0,320.7761603115232
148,-0.42761322909337807,0.09142320922042772,0.03237730915018739,478.0,317.37658968609674
149,-0.41369529758009627,0.08794906627697774,0.029379046130448755,483.0,323.4953456314538
150,-0.36360342378778654,0.08552343432587663,0.030003022734304795,480.0,327.0647141245887
151,-0.3670192385021256,0.08447419277495029,0.030725236441504412,486.0,323.21499094810434
152,-0.37263346653506746,0.08903676658390428,0.032157853597478116,483.0,312.6947047509879
